"No.","Ticker","Sector","Industry","Market Cap","P/E","Float %","Insider Transactions","Institutional Transactions","Short Float","Performance (Week)","Performance (Month)","Performance (YTD)","Beta","Average True Range","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","52-Week Range","Relative Strength Index (14)","Earnings Date","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Price","Change","After-Hours Close"
47,"NBIS","Technology","Software - Infrastructure",26234.10,,98.29%,0.00%,-1.10%,10.54%,5.87%,49.99%,279.57%,,6.52,45.07%,139.01%,-8.45%,646.20%,14.09 - 114.85,68.48,8/7/2025 8:30:00 AM,1.83%,1.50,15266.47,1.52,4220320,105.14,-2.59%,
48,"NEXT","Energy","Oil & Gas Equipment & Services",1921.68,,63.82%,2.37%,0.21%,6.57%,11.47%,-30.87%,-4.86%,1.84,0.55,-24.54%,-12.68%,-39.48%,59.80%,4.59 - 12.12,37.45,09/03/2025,2.62%,2.33,3658.01,2.85,1894405,7.34,6.77%,
49,"NIO","Consumer Cyclical","Auto Manufacturers",13600.98,,92.68%,0.00%,-11.21%,9.28%,-5.05%,10.38%,60.50%,1.28,0.44,22.99%,55.86%,-9.24%,131.72%,3.02 - 7.71,57.95,9/2/2025 8:30:00 AM,-2.07%,1.97,80128.09,2.03,29525589,7.00,-6.32%,
50,"OKLO","Utilities","Utilities - Regulated Electric",16420.10,,71.69%,-4.82%,55.61%,16.22%,-17.74%,51.97%,423.98%,0.67,10.35,35.75%,133.38%,-23.01%,1308.11%,7.90 - 144.49,58.85,8/11/2025 4:30:00 PM,-1.26%,2.12,18693.56,2.60,8813293,111.24,-6.62%,
51,"ORC","Real Estate","REIT - Mortgage",1032.41,36.14,99.75%,0.01%,17.31%,5.40%,0.93%,0.21%,-9.19%,1.52,0.12,-0.67%,-5.22%,-21.54%,24.27%,5.68 - 9.01,49.69,7/24/2025 4:30:00 PM,0.14%,2.00,4365.51,1.54,1220818,7.07,1.07%,
52,"ORCL","Technology","Software - Infrastructure",818158.18,66.65,58.49%,-0.78%,1.33%,1.42%,-6.72%,22.09%,72.77%,1.52,15.33,11.34%,50.45%,-16.72%,142.23%,118.86 - 345.72,53.48,9/9/2025 4:30:00 PM,0.57%,1.80,19390.04,1.77,6213292,287.91,-1.17%,
53,"OXY","Energy","Oil & Gas E&P",47622.28,28.42,99.64%,0.00%,1.91%,3.76%,4.93%,3.21%,-2.09%,0.96,1.18,6.74%,6.53%,-14.37%,39.07%,34.78 - 56.49,62.48,8/6/2025 4:30:00 PM,0.55%,2.73,9756.20,1.57,2779873,48.38,2.95%,
54,"PAA","Energy","Oil & Gas Midstream",12553.99,19.74,65.52%,0.00%,-0.87%,2.58%,4.88%,1.36%,4.51%,0.73,0.30,0.45%,-2.35%,-15.00%,14.61%,15.57 - 21.00,57.62,8/8/2025 8:30:00 AM,-0.40%,2.45,2600.52,2.25,1060609,17.85,0.90%,
55,"PAAS","Basic Materials","Gold",16003.00,26.32,99.66%,0.00%,3.66%,3.91%,4.00%,14.91%,87.54%,0.61,1.14,16.31%,41.40%,-1.28%,91.50%,19.80 - 38.41,65.79,8/6/2025 4:30:00 PM,1.03%,1.67,5541.43,1.69,1697206,37.92,3.04%,
56,"PCAR","Industrials","Farm & Heavy Construction Machinery",52384.31,17.10,98.13%,-0.41%,-2.24%,2.37%,0.30%,-1.66%,-4.10%,0.94,2.63,0.83%,0.34%,-13.62%,17.85%,84.65 - 115.49,51.88,7/22/2025 8:30:00 AM,4.61%,2.57,2870.53,4.35,2264872,99.76,4.38%,
